playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
12147,Nick Ahmed,ARI,122,112,29,2,18,13,2,6.60%,20.50%,0.143,0.31,0.259,0.303,0.402,22.70%,48.90%,28.40%,12.00%,8.00%,28.80%,70.90%,48.60%,65.30%,84.00%,78.20%,0.316
11615,Brandon Drury,TOR,106,100,22,5,11,9,0,4.70%,34.90%,0.22,0.293,0.22,0.264,0.44,23.80%,34.90%,41.30%,7.70%,19.20%,33.90%,66.50%,47.20%,51.80%,83.50%,70.00%,0.262
18721,Guillermo Heredia,TBR,33,25,4,1,3,5,0,15.20%,30.30%,0.16,0.214,0.16,0.323,0.32,35.70%,50.00%,14.30%,0.00%,50.00%,26.00%,80.00%,47.20%,60.00%,70.00%,66.70%,0.306
11379,Delino DeShields,TEX,91,73,14,1,8,10,7,16.50%,19.80%,0.11,0.241,0.192,0.337,0.301,21.60%,39.20%,39.20%,10.00%,5.00%,17.80%,58.20%,35.60%,63.90%,92.40%,84.40%,0.325
4220,Ryan Zimmerman,WSN,86,75,16,3,7,11,0,11.60%,20.90%,0.16,0.236,0.213,0.302,0.373,13.80%,48.30%,37.90%,4.50%,13.60%,26.90%,59.60%,40.10%,60.30%,83.90%,74.50%,0.321
4747,Curtis Granderson,MIA,94,80,15,4,8,11,0,11.70%,34.00%,0.213,0.239,0.188,0.287,0.4,20.40%,24.50%,55.10%,11.10%,14.80%,22.20%,61.10%,36.90%,57.60%,79.80%,71.50%,0.281
15112,Ryan McMahon,COL,76,67,15,2,9,10,1,11.80%,26.30%,0.119,0.289,0.224,0.316,0.343,19.60%,52.20%,28.30%,0.00%,15.40%,28.90%,76.50%,47.40%,57.40%,81.30%,72.40%,0.329
12916,Francisco Lindor,CLE,38,37,9,3,6,6,1,0.00%,23.70%,0.243,0.231,0.243,0.237,0.486,17.20%,37.90%,44.80%,15.40%,23.10%,44.60%,70.40%,54.70%,73.00%,97.40%,85.30%,0.335
17484,Eloy Jimenez,CHW,85,79,19,3,6,8,0,5.90%,29.40%,0.139,0.314,0.241,0.294,0.38,18.50%,48.10%,33.30%,5.60%,16.70%,37.90%,72.40%,50.40%,64.20%,78.70%,71.80%,0.315
17128,Ramon Laureano,OAK,107,97,23,3,16,11,3,5.60%,26.20%,0.134,0.299,0.237,0.299,0.371,20.00%,41.40%,38.60%,0.00%,11.10%,29.30%,62.20%,43.90%,55.90%,83.50%,73.20%,0.34
