playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
14352,Lewis Brinson,MIA,82,76,15,0,4,4,0,2.40%,34.10%,0.066,0.313,0.197,0.247,0.263,20.80%,43.80%,35.40%,11.80%,0.00%,42.80%,67.20%,52.80%,53.20%,79.80%,67.10%,0.236
15082,Adam Engel,CHW,45,41,7,1,4,3,0,6.70%,37.80%,0.122,0.261,0.171,0.227,0.293,22.70%,40.90%,36.40%,12.50%,12.50%,30.40%,71.30%,48.40%,54.80%,70.20%,64.80%,0.304
5343,Brandon Crawford,SFG,112,101,20,0,5,2,1,8.90%,25.90%,0.02,0.278,0.198,0.277,0.218,25.00%,52.80%,22.20%,12.50%,0.00%,31.90%,75.00%,50.70%,44.30%,86.80%,71.70%,0.304
5497,Marwin Gonzalez,MIN,86,78,13,2,5,7,1,9.30%,24.40%,0.09,0.2,0.167,0.244,0.256,14.00%,52.60%,33.30%,10.50%,10.50%,28.20%,65.30%,42.90%,62.90%,89.40%,78.80%,0.322
5275,Francisco Cervelli,PIT,88,80,14,1,9,4,0,6.80%,27.30%,0.063,0.236,0.175,0.25,0.238,16.10%,42.90%,41.10%,4.30%,4.30%,29.00%,62.70%,44.20%,51.80%,87.90%,74.80%,0.302
10815,Jurickson Profar,OAK,102,93,15,2,9,13,3,6.90%,13.70%,0.108,0.167,0.161,0.225,0.269,20.00%,46.30%,33.80%,22.20%,7.40%,34.50%,67.30%,46.90%,75.60%,93.10%,85.00%,0.301
10030,Chris Owings,KCR,104,96,15,2,8,8,4,7.70%,32.70%,0.115,0.217,0.156,0.221,0.271,16.40%,59.00%,24.60%,6.70%,13.30%,33.80%,60.20%,45.30%,48.10%,84.90%,69.40%,0.209
3448,Jeff Mathis,TEX,51,47,8,1,7,2,0,7.80%,27.50%,0.064,0.219,0.17,0.235,0.234,15.60%,37.50%,46.90%,13.30%,6.70%,37.30%,59.80%,47.80%,46.30%,84.50%,68.70%,0.209
12282,Rougned Odor,TEX,69,62,9,1,10,5,2,8.70%,37.70%,0.081,0.229,0.145,0.232,0.226,17.60%,35.30%,47.10%,25.00%,6.30%,29.70%,69.40%,45.80%,57.40%,77.90%,70.00%,0.283
17736,Richie Martin Jr.,BAL,74,67,11,0,5,1,1,8.10%,33.80%,0.045,0.262,0.164,0.243,0.209,24.40%,46.30%,29.30%,25.00%,0.00%,34.40%,74.30%,53.40%,50.90%,82.70%,72.00%,0.26
6195,Ian Kinsler,SDP,91,83,11,2,7,2,1,8.80%,18.70%,0.108,0.141,0.133,0.209,0.241,15.40%,38.50%,46.20%,26.70%,6.70%,27.00%,65.10%,44.70%,71.70%,86.40%,81.60%,0.278
19262,Garrett Hampson,COL,81,77,14,1,8,4,1,2.50%,27.20%,0.091,0.236,0.182,0.2,0.273,17.00%,47.20%,35.80%,36.80%,5.30%,19.90%,60.80%,38.00%,50.00%,89.70%,78.00%,0.302
14818,JaCoby Jones,DET,56,51,7,1,4,1,1,3.60%,33.90%,0.078,0.194,0.137,0.214,0.216,6.30%,43.80%,50.00%,12.50%,6.30%,40.00%,64.30%,50.90%,58.30%,88.90%,75.70%,0.31
16403,Francisco Mejia,SDP,44,41,6,0,2,1,0,4.50%,27.30%,0.073,0.207,0.146,0.205,0.22,20.70%,44.80%,34.50%,20.00%,0.00%,39.80%,70.00%,52.00%,68.30%,79.60%,74.40%,0.316
12984,Jackie Bradley Jr.,BOS,99,88,13,0,5,5,3,9.10%,30.30%,0.034,0.22,0.148,0.224,0.182,8.50%,59.30%,32.20%,15.80%,0.00%,29.80%,70.60%,47.70%,48.50%,76.00%,66.30%,0.317
9253,Keon Broxton,NYM,45,41,6,0,4,2,4,8.90%,42.20%,0,0.273,0.146,0.222,0.146,13.60%,50.00%,36.40%,0.00%,0.00%,26.10%,64.20%,41.80%,36.70%,65.40%,54.90%,0.242
16357,Pablo Reyes,PIT,39,36,5,0,5,3,0,7.70%,35.90%,0,0.227,0.139,0.205,0.139,9.50%,42.90%,47.60%,10.00%,0.00%,27.30%,53.80%,38.60%,45.80%,85.70%,69.50%,0.274
6848,Eduardo Nunez,BOS,46,44,7,0,3,5,3,2.20%,17.40%,0.023,0.194,0.159,0.178,0.182,8.30%,52.80%,38.90%,21.40%,0.00%,30.70%,69.60%,50.60%,69.60%,90.90%,84.60%,0.243
16623,Greg Allen,CLE,42,38,4,0,4,6,0,4.80%,33.30%,0.053,0.16,0.105,0.167,0.158,16.00%,48.00%,36.00%,11.10%,0.00%,40.00%,71.20%,52.40%,57.50%,78.70%,69.00%,0.29
