,playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP,Predicted_OBP,Percent_Error
184,16478,Kyle Schwarber,CHC,91,83,20,4,9,8,0,0.08800000000000001,0.297,0.193,0.308,0.241,0.308,0.434,0.185,0.444,0.37,0.0,0.2,0.235,0.677,0.423,0.5770000000000001,0.7929999999999999,0.7240000000000001,0.339,0.319285426334717,0.058155084558356954
185,3516,Eric Hosmer,SDP,120,111,28,5,14,18,0,0.075,0.233,0.189,0.295,0.252,0.308,0.441,0.23199999999999998,0.47600000000000003,0.293,0.042,0.20800000000000002,0.327,0.764,0.499,0.6,0.853,0.752,0.31,0.31517760670155814,0.01670195710180047
186,11846,Leonys Martin,CLE,120,104,23,5,16,8,1,0.092,0.3,0.183,0.286,0.221,0.319,0.404,0.152,0.424,0.424,0.25,0.179,0.315,0.758,0.508,0.48100000000000004,0.76,0.662,0.276,0.2966750029742875,0.07490943106625898
187,5913,Leury Garcia,CHW,111,102,29,1,21,11,4,0.045,0.252,0.098,0.384,0.284,0.336,0.382,0.18100000000000002,0.556,0.264,0.053,0.053,0.37799999999999995,0.764,0.5539999999999999,0.557,0.857,0.745,0.31,0.3299502672119908,0.06435570068384122
188,9112,Khris Davis,OAK,120,110,24,9,13,19,0,0.075,0.28300000000000003,0.264,0.224,0.218,0.283,0.482,0.19699999999999998,0.32899999999999996,0.474,0.027999999999999997,0.25,0.331,0.802,0.521,0.429,0.768,0.64,0.293,0.27289156631472145,0.06862946650265712
189,15679,Rowdy Tellez,TOR,86,77,17,5,12,16,0,0.07,0.314,0.234,0.261,0.221,0.291,0.455,0.235,0.373,0.392,0.05,0.25,0.386,0.76,0.517,0.581,0.815,0.7020000000000001,0.293,0.2934306845524523,0.0014699131483014356
190,13367,Stephen Piscotty,OAK,126,113,29,3,13,13,1,0.095,0.23,0.142,0.317,0.257,0.325,0.398,0.2,0.4,0.4,0.028999999999999998,0.08800000000000001,0.295,0.695,0.46399999999999997,0.598,0.794,0.722,0.309,0.3210171371257134,0.038890411410075716
191,10231,Jose Iglesias,CIN,84,79,24,1,9,6,0,0.048,0.14300000000000002,0.089,0.348,0.304,0.345,0.392,0.299,0.46299999999999997,0.239,0.125,0.063,0.409,0.654,0.517,0.7909999999999999,0.9059999999999999,0.855,0.318,0.34196305293359935,0.07535551236980928
192,2530,Yonder Alonso,CHW,100,84,16,5,13,13,0,0.16,0.15,0.214,0.172,0.19,0.32,0.405,0.188,0.391,0.42,0.10300000000000001,0.172,0.242,0.7070000000000001,0.43200000000000005,0.603,0.915,0.813,0.296,0.29514466515450266,0.002889644748301771
193,9627,Yan Gomes,WSN,70,63,16,2,6,8,0,0.086,0.28600000000000003,0.127,0.341,0.254,0.329,0.381,0.209,0.442,0.349,0.067,0.133,0.34700000000000003,0.6579999999999999,0.47700000000000004,0.69,0.747,0.723,0.316,0.3137030876519602,0.007268709962151277
194,10556,Cesar Hernandez,PHI,121,109,29,2,14,9,2,0.091,0.132,0.128,0.293,0.266,0.331,0.394,0.23399999999999999,0.457,0.309,0.069,0.069,0.289,0.642,0.446,0.73,0.885,0.8290000000000001,0.333,0.33360471281427745,0.001815954397229521
195,15447,Ryon Healy,SEA,121,107,24,4,17,18,0,0.091,0.207,0.215,0.25,0.224,0.298,0.439,0.179,0.345,0.47600000000000003,0.175,0.1,0.248,0.67,0.442,0.484,0.9079999999999999,0.779,0.289,0.30802591820899167,0.06583362702073249
196,10047,Wil Myers,SDP,107,101,25,5,13,11,2,0.055999999999999994,0.364,0.198,0.351,0.248,0.29,0.446,0.237,0.39,0.373,0.091,0.22699999999999998,0.278,0.6679999999999999,0.445,0.574,0.7559999999999999,0.691,0.321,0.3351987163308339,0.044232761155245846
197,11902,Hanser Alberto,BAL,74,71,23,1,2,7,1,0.027000000000000003,0.10800000000000001,0.056,0.349,0.324,0.338,0.38,0.237,0.49200000000000005,0.271,0.063,0.063,0.436,0.758,0.5579999999999999,0.691,0.9309999999999999,0.8140000000000001,0.329,0.3079469830933599,0.06399093284693048
198,5760,Avisail Garcia,TBR,104,97,24,4,12,10,2,0.057999999999999996,0.298,0.196,0.323,0.247,0.298,0.443,0.182,0.439,0.379,0.0,0.16,0.415,0.769,0.552,0.48,0.758,0.631,0.332,0.3038105525808656,0.08490797415401936
199,12546,C.J. Cron,MIN,88,82,19,5,9,14,0,0.057,0.205,0.22,0.237,0.232,0.284,0.451,0.266,0.375,0.359,0.087,0.217,0.326,0.7170000000000001,0.49700000000000005,0.557,0.846,0.7390000000000001,0.311,0.28513128308351776,0.08317915407229015
200,5254,Robbie Grossman,OAK,86,74,16,3,11,8,2,0.14,0.18600000000000003,0.162,0.236,0.216,0.326,0.378,0.193,0.298,0.509,0.034,0.10300000000000001,0.14300000000000002,0.578,0.35100000000000003,0.6,0.892,0.831,0.334,0.3188183005400832,0.045454189999750955
201,7619,Mark Reynolds,COL,67,53,10,3,5,8,1,0.149,0.373,0.189,0.259,0.189,0.328,0.377,0.3,0.36700000000000005,0.33299999999999996,0.3,0.3,0.26899999999999996,0.6579999999999999,0.43799999999999994,0.381,0.785,0.645,0.29,0.32889854347446074,0.1341329085326233
202,1177,Albert Pujols,LAA,107,91,20,4,10,15,0,0.11199999999999999,0.131,0.176,0.213,0.22,0.318,0.396,0.127,0.43,0.44299999999999995,0.257,0.114,0.304,0.561,0.415,0.6940000000000001,0.8909999999999999,0.809,0.305,0.3094827766537757,0.014697628373035154
203,10243,Randal Grichuk,TOR,119,110,27,4,16,11,0,0.067,0.28600000000000003,0.173,0.319,0.245,0.303,0.418,0.19699999999999998,0.395,0.408,0.09699999999999999,0.129,0.354,0.6990000000000001,0.491,0.495,0.8370000000000001,0.688,0.28,0.3092550846497217,0.10448244517757732
204,15518,Amed Rosario,NYM,113,106,29,2,10,17,3,0.062,0.23,0.132,0.346,0.274,0.319,0.406,0.2,0.475,0.325,0.038,0.077,0.371,0.748,0.518,0.5870000000000001,0.79,0.701,0.323,0.3056370449848731,0.05375527868460345
205,15194,Jake Bauers,CLE,99,87,21,3,12,11,1,0.111,0.212,0.138,0.281,0.241,0.323,0.379,0.16699999999999998,0.439,0.39399999999999996,0.154,0.115,0.21600000000000003,0.696,0.424,0.647,0.929,0.847,0.312,0.32501125941184067,0.04170275452513035
206,11493,Manny Machado,SDP,120,106,25,4,14,12,1,0.1,0.25,0.132,0.292,0.236,0.325,0.368,0.184,0.447,0.368,0.179,0.14300000000000002,0.326,0.695,0.46799999999999997,0.5379999999999999,0.8370000000000001,0.708,0.334,0.30655759591715054,0.08216288647559725
207,13624,Corey Seager,LAD,126,110,26,2,18,9,0,0.11900000000000001,0.214,0.127,0.296,0.236,0.333,0.364,0.205,0.349,0.446,0.054000000000000006,0.054000000000000006,0.278,0.746,0.475,0.532,0.873,0.758,0.335,0.3154332557141369,0.058408191898098906
208,15585,Mike Ford,NYY,32,24,4,1,6,2,0,0.21899999999999997,0.25,0.167,0.2,0.167,0.375,0.333,0.313,0.313,0.375,0.33299999999999996,0.16699999999999998,0.19,0.564,0.34299999999999997,0.667,0.903,0.826,0.35,0.344774276465667,0.014930638669522807
209,8090,Matt Carpenter,STL,125,104,21,3,18,5,1,0.16,0.248,0.154,0.254,0.202,0.328,0.356,0.278,0.20800000000000002,0.514,0.0,0.081,0.21100000000000002,0.654,0.405,0.545,0.862,0.769,0.334,0.32411688274733375,0.02959017141516848
210,9166,Buster Posey,SFG,97,88,22,1,7,9,0,0.08199999999999999,0.165,0.148,0.292,0.25,0.309,0.398,0.26,0.41100000000000003,0.32899999999999996,0.042,0.042,0.36200000000000004,0.639,0.478,0.688,0.96,0.841,0.32,0.33175872206841334,0.036746006463791656
211,15223,Adam Frazier,PIT,105,93,24,1,13,6,2,0.095,0.14300000000000002,0.086,0.299,0.258,0.337,0.344,0.28600000000000003,0.377,0.33799999999999997,0.077,0.038,0.253,0.6409999999999999,0.424,0.759,0.871,0.833,0.336,0.33020619837875315,0.017243457206091887
212,3312,Martin Prado,MIA,73,68,20,1,7,8,0,0.040999999999999995,0.13699999999999998,0.103,0.322,0.294,0.315,0.397,0.233,0.5329999999999999,0.233,0.14300000000000002,0.071,0.331,0.53,0.419,0.732,0.9570000000000001,0.857,0.265,0.3495441056323263,0.31903436087670295
213,11200,Kole Calhoun,LAA,121,108,21,7,17,16,0,0.107,0.256,0.241,0.2,0.194,0.281,0.435,0.16899999999999998,0.377,0.455,0.086,0.2,0.242,0.705,0.439,0.431,0.8370000000000001,0.7090000000000001,0.325,0.2859035689636687,0.12029671088101943
214,12158,Austin Barnes,LAD,87,73,15,3,13,10,1,0.138,0.184,0.164,0.218,0.205,0.322,0.37,0.19,0.466,0.345,0.1,0.15,0.18600000000000003,0.58,0.365,0.75,0.872,0.838,0.293,0.3137857424378819,0.07094110047058667
215,8259,Kurt Suzuki,WSN,53,48,12,2,4,9,0,0.038,0.151,0.146,0.256,0.25,0.302,0.396,0.268,0.341,0.39,0.063,0.125,0.35200000000000004,0.782,0.5660000000000001,0.677,0.882,0.818,0.324,0.27877006897000844,0.13959855256170237
216,7802,Miguel Rojas,MIA,96,87,24,0,8,8,0,0.073,0.083,0.069,0.3,0.276,0.333,0.345,0.19,0.506,0.304,0.083,0.0,0.35100000000000003,0.685,0.502,0.77,0.857,0.8240000000000001,0.331,0.30023090517811873,0.09295799039843287
217,8267,Chris Iannetta,COL,33,29,6,1,2,2,0,0.091,0.424,0.172,0.357,0.207,0.303,0.379,0.467,0.33299999999999996,0.2,0.0,0.33299999999999996,0.243,0.667,0.452,0.16699999999999998,0.688,0.545,0.311,0.33476438593517927,0.07641281651183043
218,18289,Brian Anderson,MIA,121,107,26,2,5,6,3,0.11599999999999999,0.215,0.093,0.304,0.243,0.331,0.336,0.235,0.444,0.321,0.115,0.077,0.309,0.667,0.467,0.58,0.848,0.7490000000000001,0.342,0.3274589653426661,0.042517645196882795
219,11470,Tony Wolters,COL,69,60,16,0,4,5,0,0.11599999999999999,0.145,0.1,0.314,0.267,0.348,0.367,0.255,0.49,0.255,0.0,0.0,0.262,0.621,0.424,0.6759999999999999,0.972,0.872,0.337,0.35282643305453254,0.046962709360630614
220,12147,Nick Ahmed,ARI,122,112,29,2,18,13,2,0.066,0.205,0.143,0.31,0.259,0.303,0.402,0.22699999999999998,0.489,0.284,0.12,0.08,0.28800000000000003,0.7090000000000001,0.486,0.653,0.84,0.782,0.316,0.32158680014677127,0.017679747299909065
221,11615,Brandon Drury,TOR,106,100,22,5,11,9,0,0.047,0.349,0.22,0.293,0.22,0.264,0.44,0.23800000000000002,0.349,0.413,0.077,0.192,0.33899999999999997,0.665,0.47200000000000003,0.518,0.835,0.7,0.262,0.3087201722164444,0.17832126800169604
222,18721,Guillermo Heredia,TBR,33,25,4,1,3,5,0,0.152,0.303,0.16,0.214,0.16,0.323,0.32,0.35700000000000004,0.5,0.14300000000000002,0.0,0.5,0.26,0.8,0.47200000000000003,0.6,0.7,0.667,0.306,0.2797748712921125,0.08570303499309645
223,11379,Delino DeShields,TEX,91,73,14,1,8,10,7,0.165,0.198,0.11,0.241,0.192,0.337,0.301,0.21600000000000003,0.392,0.392,0.1,0.05,0.17800000000000002,0.5820000000000001,0.35600000000000004,0.639,0.924,0.8440000000000001,0.325,0.3337281129619273,0.026855732190545444
224,4220,Ryan Zimmerman,WSN,86,75,16,3,7,11,0,0.11599999999999999,0.209,0.16,0.236,0.213,0.302,0.373,0.138,0.483,0.379,0.045,0.136,0.26899999999999996,0.596,0.401,0.603,0.8390000000000001,0.745,0.321,0.289326957121167,0.09866991551038315
225,4747,Curtis Granderson,MIA,94,80,15,4,8,11,0,0.11699999999999999,0.34,0.213,0.239,0.188,0.287,0.4,0.204,0.245,0.551,0.111,0.14800000000000002,0.222,0.611,0.369,0.5760000000000001,0.7979999999999999,0.715,0.281,0.3074394442253249,0.09409054884457241
226,15112,Ryan McMahon,COL,76,67,15,2,9,10,1,0.11800000000000001,0.263,0.119,0.289,0.224,0.316,0.343,0.196,0.522,0.28300000000000003,0.0,0.154,0.289,0.765,0.474,0.574,0.813,0.7240000000000001,0.329,0.2972372862771782,0.09654320280492948
227,12916,Francisco Lindor,CLE,38,37,9,3,6,6,1,0.0,0.237,0.243,0.231,0.243,0.237,0.486,0.172,0.379,0.44799999999999995,0.154,0.231,0.446,0.7040000000000001,0.547,0.73,0.9740000000000001,0.853,0.335,0.29152803725036563,0.12976705298398322
228,17484,Eloy Jimenez,CHW,85,79,19,3,6,8,0,0.059000000000000004,0.294,0.139,0.314,0.241,0.294,0.38,0.185,0.48100000000000004,0.33299999999999996,0.055999999999999994,0.16699999999999998,0.379,0.7240000000000001,0.504,0.642,0.787,0.718,0.315,0.29517449165594717,0.06293812172715185
229,17128,Ramon Laureano,OAK,107,97,23,3,16,11,3,0.055999999999999994,0.262,0.134,0.299,0.237,0.299,0.371,0.2,0.414,0.386,0.0,0.111,0.293,0.622,0.439,0.5589999999999999,0.835,0.732,0.34,0.30360717387836395,0.10703772388716493
230,7870,Jonathan Lucroy,LAA,93,86,22,2,12,11,0,0.065,0.09699999999999999,0.093,0.267,0.256,0.312,0.349,0.195,0.506,0.299,0.043,0.087,0.239,0.561,0.396,0.745,0.9620000000000001,0.895,0.305,0.3109040666557007,0.019357595592461318
231,4922,Ender Inciarte,ATL,101,90,21,2,8,6,3,0.08900000000000001,0.218,0.122,0.284,0.233,0.307,0.356,0.24600000000000002,0.585,0.16899999999999998,0.0,0.182,0.33,0.6890000000000001,0.49200000000000005,0.708,0.8390000000000001,0.7909999999999999,0.343,0.3176581491506291,0.073882947082714
232,17326,Cole Tucker,PIT,38,36,9,1,4,2,0,0.053,0.316,0.167,0.348,0.25,0.289,0.417,0.13,0.609,0.261,0.0,0.16699999999999998,0.33299999999999996,0.7120000000000001,0.493,0.48100000000000004,0.833,0.696,0.266,0.3245090486416679,0.2199588294799545
233,15274,Mike Tauchman,NYY,71,62,11,3,10,8,1,0.127,0.29600000000000004,0.21,0.211,0.177,0.282,0.387,0.098,0.585,0.317,0.0,0.231,0.22899999999999998,0.674,0.415,0.605,0.89,0.799,0.361,0.29472896297220397,0.18357627985539066
234,7007,Yadier Molina,STL,114,107,28,2,11,20,1,0.044000000000000004,0.079,0.131,0.265,0.262,0.289,0.393,0.29,0.41,0.3,0.067,0.067,0.406,0.7879999999999999,0.563,0.758,0.927,0.855,0.312,0.29345846893996685,0.059427984166772904
235,9774,Christian Vazquez,BOS,79,72,16,4,12,13,1,0.076,0.19,0.208,0.222,0.222,0.278,0.431,0.19,0.379,0.431,0.04,0.16,0.242,0.6509999999999999,0.43200000000000005,0.6940000000000001,0.893,0.833,0.32,0.29672929962484057,0.07272093867237324
236,19198,Yuli Gurriel,HOU,113,104,25,1,12,9,0,0.071,0.124,0.135,0.267,0.24,0.292,0.375,0.33,0.319,0.35200000000000004,0.094,0.031,0.29600000000000004,0.6759999999999999,0.465,0.742,0.917,0.856,0.343,0.31348086806041353,0.08606160915331339
237,14103,Rio Ruiz,BAL,106,92,21,2,8,10,0,0.12300000000000001,0.217,0.087,0.279,0.228,0.321,0.315,0.214,0.47100000000000003,0.314,0.136,0.091,0.249,0.645,0.41700000000000004,0.581,0.856,0.7609999999999999,0.306,0.310964176086069,0.016222797666892247
238,5751,Hernan Perez,MIL,56,52,11,3,7,6,1,0.071,0.375,0.192,0.286,0.212,0.268,0.404,0.09699999999999999,0.419,0.484,0.0,0.2,0.424,0.626,0.511,0.643,0.71,0.6779999999999999,0.262,0.28692454072379137,0.09513183482363112
239,13185,Orlando Arcia,MIL,105,98,23,4,12,11,0,0.067,0.22899999999999998,0.163,0.271,0.235,0.286,0.398,0.16399999999999998,0.5479999999999999,0.28800000000000003,0.14300000000000002,0.19,0.336,0.655,0.47200000000000003,0.5820000000000001,0.825,0.725,0.283,0.2866047980668472,0.012737802356350582
240,13265,Mike Zunino,TBR,70,67,15,2,7,12,0,0.043,0.257,0.194,0.277,0.224,0.257,0.418,0.204,0.34700000000000003,0.449,0.136,0.091,0.396,0.769,0.562,0.47200000000000003,0.88,0.721,0.232,0.27913833220330814,0.2031824663935695
241,14950,Johan Camargo,ATL,71,65,15,1,8,10,1,0.085,0.183,0.138,0.275,0.231,0.296,0.369,0.212,0.34600000000000003,0.442,0.087,0.043,0.40700000000000003,0.77,0.5539999999999999,0.632,0.885,0.774,0.279,0.2861483416987035,0.025621296411123606
242,4579,Starlin Castro,MIA,122,113,28,3,11,9,1,0.07400000000000001,0.14800000000000002,0.088,0.272,0.248,0.303,0.336,0.13699999999999998,0.589,0.27399999999999997,0.038,0.115,0.28300000000000003,0.626,0.428,0.76,0.91,0.853,0.3,0.29505190096778977,0.016493663440700728
243,9810,Brian Dozier,WSN,101,87,16,4,10,6,1,0.129,0.287,0.149,0.222,0.184,0.297,0.333,0.121,0.5,0.379,0.182,0.182,0.203,0.588,0.376,0.521,0.816,0.728,0.34,0.2890798859128576,0.1497650414327718
244,10200,Tucker Barnhart,CIN,78,67,14,2,8,5,0,0.128,0.244,0.119,0.261,0.209,0.312,0.328,0.271,0.41700000000000004,0.313,0.133,0.133,0.263,0.659,0.431,0.63,0.8,0.74,0.328,0.3032920485944021,0.07532912013901796
245,17062,Grayson Greiner,DET,77,72,16,3,7,9,0,0.052000000000000005,0.28600000000000003,0.153,0.277,0.222,0.273,0.375,0.14,0.52,0.34,0.059000000000000004,0.17600000000000002,0.358,0.657,0.47,0.516,0.887,0.711,0.251,0.2831253090084724,0.12798927891821665
246,13621,Jeimer Candelario,DET,114,99,22,0,13,5,1,0.12300000000000001,0.263,0.071,0.319,0.222,0.325,0.293,0.275,0.319,0.406,0.071,0.0,0.309,0.625,0.44299999999999995,0.598,0.9,0.779,0.306,0.31212406303430995,0.02001327788990182
247,13359,Tyler Naquin,CLE,73,70,18,1,7,7,3,0.040999999999999995,0.28800000000000003,0.114,0.354,0.257,0.288,0.371,0.22399999999999998,0.429,0.34700000000000003,0.235,0.059000000000000004,0.36,0.6970000000000001,0.502,0.695,0.7829999999999999,0.746,0.325,0.3132794542706049,0.03606321762890808
248,2900,Roberto Perez,CLE,70,61,13,2,3,5,0,0.086,0.32899999999999996,0.131,0.297,0.213,0.29,0.344,0.237,0.447,0.316,0.0,0.16699999999999998,0.213,0.64,0.382,0.389,0.789,0.654,0.321,0.2980686697829745,0.0714371657851261
249,5384,Juan Lagares,NYM,63,55,12,1,9,5,2,0.095,0.28600000000000003,0.091,0.306,0.218,0.306,0.309,0.162,0.595,0.243,0.0,0.111,0.305,0.625,0.44,0.574,0.843,0.735,0.279,0.2956859976588853,0.05980644322181106
250,5827,Wilmer Flores,ARI,87,79,19,1,9,7,0,0.069,0.092,0.089,0.254,0.241,0.299,0.329,0.20800000000000002,0.40299999999999997,0.389,0.214,0.036000000000000004,0.249,0.625,0.43200000000000005,0.857,0.93,0.9079999999999999,0.361,0.30431054542062647,0.15703450021987125
251,13277,Joey Rickard,BAL,95,86,17,2,9,6,1,0.084,0.263,0.163,0.254,0.198,0.274,0.36,0.18,0.377,0.44299999999999995,0.222,0.07400000000000001,0.318,0.725,0.48700000000000004,0.688,0.831,0.7759999999999999,0.312,0.2875371036329302,0.07840671912522364
252,14109,Albert Almora Jr.,CHC,76,69,18,1,7,6,2,0.066,0.171,0.058,0.309,0.261,0.32,0.319,0.125,0.607,0.268,0.2,0.067,0.409,0.698,0.525,0.6,0.919,0.77,0.271,0.2915271357588213,0.07574588840893452
253,14712,Manuel Margot,SDP,84,83,21,2,9,9,1,0.012,0.20199999999999999,0.133,0.297,0.253,0.262,0.386,0.203,0.266,0.531,0.17600000000000002,0.059000000000000004,0.275,0.703,0.495,0.6829999999999999,0.8740000000000001,0.8220000000000001,0.304,0.294548284009325,0.031091171021957284
254,6547,Jordy Mercer,DET,51,47,11,0,2,2,0,0.059000000000000004,0.21600000000000003,0.085,0.306,0.234,0.294,0.319,0.19399999999999998,0.389,0.41700000000000004,0.0,0.0,0.252,0.57,0.39399999999999996,0.7240000000000001,0.943,0.866,0.31,0.3137692614324643,0.012158907846659066
255,785,Todd Frazier,NYM,30,29,6,2,2,7,1,0.0,0.33299999999999996,0.207,0.235,0.207,0.233,0.414,0.158,0.316,0.526,0.0,0.2,0.34600000000000003,0.5489999999999999,0.426,0.63,0.75,0.691,0.329,0.26204640056232786,0.2035063812695202
